No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
1,27.2,100616.0,0.0,0.07,-0.989,-50.0,-55.0,-10.0,-8.85,-5.554,0.366,0.0,0.0,0,61.761793029820915,0.4915105
2,27.2,100611.0,-0.006,0.072,-0.995,-50.0,-55.0,-10.0,-6.042,-2.502,0.61,0.0,0.0,0,62.19918640297622,0.4976225
3,27.2,100608.0,-0.003,0.068,-0.991,-50.0,-55.0,-10.0,-9.46,0.793,-0.366,0.0,0.0,0,62.46163484546578,0.493357
4,27.2,100614.0,-0.002,0.061,-0.998,-50.0,-55.0,-10.0,-9.338,-0.427,-0.427,0.0,0.0,0,61.93674727456527,0.4998645
5,27.2,100616.0,0.001,0.054,-0.994,-50.0,-55.0,-10.0,-6.042,-1.77,0.305,0.0,0.0,0,61.761793029820915,0.4954765
6,27.2,100613.0,-0.004,0.056,-0.997,-50.0,-55.0,-10.0,-4.943,-1.464,0.183,0.0,0.0,0,62.0242259491676,0.49858050000000004
7,27.2,100622.0,0.002,0.051,-0.996,-50.0,-55.0,-10.0,-7.08,0.0,-0.061,0.0,0.0,0,61.236955129721046,0.4973105
8,27.299,100613.0,0.002,0.052,-0.999,-50.0,-55.0,-10.0,-10.253,1.464,-0.976,0.0,0.0,0,62.04467009223058,0.5003545
9,27.299,100613.0,-0.007,0.036,-0.991,-50.0,-55.0,-10.0,-10.314,-0.061,-0.366,0.0,0.0,0,62.04467009223058,0.491713
10,27.299,100618.0,-0.005,0.049,-1.025,-50.0,-55.0,-10.0,-13.0,-3.173,0.488,0.0,0.0,0,61.60714289907431,0.5265255
11,27.299,100612.0,-0.003,0.023,-0.995,-50.0,-55.0,-10.0,-7.019,-1.098,0.427,0.0,0.0,0,62.13217863635774,0.49528150000000004
12,27.299,100613.0,-0.001,0.025,-0.993,-50.0,-55.0,-10.0,-6.713,-0.549,0.061,0.0,0.0,0,62.04467009223058,0.4933375
13,27.299,100624.0,-0.005,0.019,-1.001,-50.0,-55.0,-10.0,-5.371,-0.854,0.244,0.0,0.0,0,61.082144424740676,0.5011934999999998
14,27.299,100616.0,-0.007,0.017,-0.996,-50.0,-55.0,-10.0,-5.004,-0.915,0.305,0.0,0.0,0,61.78215067093945,0.496177
15,27.299,100609.0,-0.004,0.017,-0.996,-50.0,-55.0,-10.0,-4.76,-0.915,0.305,0.0,0.0,0,62.39471048012719,0.4961605
16,27.299,100612.0,-0.005,0.024,-0.998,-50.0,-55.0,-10.0,-4.76,-1.159,0.488,0.0,0.0,0,62.13217863635774,0.4983025
17,27.299,100615.0,-0.003,0.017,-0.991,-50.0,-55.0,-10.0,-4.638,-1.098,0.671,0.0,0.0,0,61.869656109552224,0.4911895
18,27.299,100613.0,-0.003,0.019,-0.994,-50.0,-55.0,-10.0,-4.638,-0.854,0.122,0.0,0.0,0,62.04467009223058,0.494203
19,27.299,100610.0,-0.005,0.02,-0.998,-50.0,-55.0,-10.0,-4.882,-1.098,0.305,0.0,0.0,0,62.307198830280385,0.4982145
20,27.299,100619.0,-0.005,0.02,-0.989,-50.0,-55.0,-10.0,-4.821,-1.159,0.427,0.0,0.0,0,61.519640565780904,0.489273
21,27.299,100626.0,-0.004,0.017,-0.994,-50.0,-55.0,-10.0,-4.577,-1.159,0.183,0.0,0.0,0,60.90715321311458,0.4941705
22,27.299,100620.0,-0.007,0.023,-0.99,-50.0,-55.0,-10.0,-4.699,-0.976,0.488,0.0,0.0,0,61.43213926754606,0.49033899999999997
23,27.299,100622.0,-0.003,0.016,-0.998,-50.0,-55.0,-10.0,-4.516,-1.098,0.183,0.0,0.0,0,61.257139776159676,0.4981345
24,27.299,100617.0,0.0,0.017,-1.0,-50.0,-55.0,-10.0,-5.065,-0.976,0.183,0.0,0.0,0,61.694646267457074,0.5001445
25,27.299,100621.0,-0.002,0.016,-0.999,-50.0,-55.0,-10.0,-4.577,-1.159,0.305,0.0,0.0,0,61.34463900434925,0.49913050000000003
26,27.299,100626.0,-0.004,0.017,-0.988,-50.0,-55.0,-10.0,-4.455,-0.976,0.0,0.0,0.0,0,60.90715321311458,0.4882245
27,27.299,100626.0,-0.002,0.016,-0.995,-50.0,-55.0,-10.0,-4.577,-0.915,0.915,0.0,0.0,0,60.90715321311458,0.49514250000000004
28,27.299,100616.0,-0.004,0.015,-0.987,-50.0,-55.0,-10.0,-4.272,-1.159,0.244,0.0,0.0,0,61.78215067093945,0.487205
29,27.299,100620.0,-0.001,0.019,-0.993,-50.0,-55.0,-10.0,-4.638,-0.915,0.427,0.0,0.0,0,61.43213926754606,0.49320549999999996
30,27.299,100619.0,0.0,0.016,-0.993,-50.0,-55.0,-10.0,-4.394,-0.854,0.183,0.0,0.0,0,61.519640565780904,0.4931525
31,27.299,100616.0,-0.003,0.018,-0.998,-50.0,-55.0,-10.0,-4.821,-0.793,0.366,0.0,0.0,0,61.78215067093945,0.4981685
32,27.299,100622.0,-0.005,0.013,-0.997,-50.0,-55.0,-10.0,-4.455,-0.854,0.488,0.0,0.0,0,61.257139776159676,0.49710150000000003
