No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
50,26.1,100711.0,0.055,0.033,-0.981,-50.0,-55.0,-10.0,-3.723,-5.981,-5.554,0.0,0.0,0
51,26.1,100697.0,0.036,0.006,-1.044,-50.0,-55.0,-10.0,-14.587,-4.089,16.357,0.0,0.0,0
52,26.1,100703.0,0.023,0.042,-0.977,-50.0,-55.0,-10.0,7.873,7.263,20.996,0.0,0.0,0
53,26.1,100704.0,0.107,-0.027,-0.975,-50.0,-55.0,-10.0,-1.586,0.0,12.878,0.0,0.0,0
54,26.1,100713.0,0.023,0.026,-1.006,-50.0,-55.0,-10.0,-2.197,-1.342,14.221,0.0,0.0,0
55,26.1,100706.0,0.057,0.015,-0.983,-50.0,-55.0,-10.0,-12.512,-12.756,22.521,0.0,0.0,0
56,26.1,100705.0,0.033,0.011,-1.048,-50.0,-55.0,-10.0,-8.422,-2.807,14.465,0.0,0.0,0
57,26.1,100703.0,0.105,0.004,-0.93,-50.0,-55.0,-10.0,-4.638,-3.417,13.183,0.0,0.0,0
58,26.1,100705.0,0.077,0.018,-0.997,-50.0,-55.0,-10.0,-7.995,-3.295,8.666,0.0,0.0,0
59,26.1,100705.0,0.08,0.008,-1.004,-50.0,-55.0,-10.0,-11.352,-9.948,1.831,0.0,0.0,0
60,26.1,100711.0,0.078,0.031,-0.957,-50.0,-55.0,-10.0,2.868,-1.464,7.202,0.0,0.0,0
61,26.1,100715.0,0.076,0.054,-0.958,-50.0,-55.0,-10.0,-4.882,-7.019,3.234,0.0,0.0,0
62,26.1,100700.0,0.076,0.046,-0.991,-50.0,-55.0,-10.0,-9.033,1.037,-2.868,0.0,0.0,0
63,26.1,100702.0,0.103,0.004,-1.023,-50.0,-55.0,-10.0,4.699,14.099,-4.76,0.0,0.0,0
64,26.1,100695.0,0.132,0.042,-0.934,-50.0,-55.0,-10.0,-6.774,-1.831,6.53,0.0,0.0,0
65,26.1,100699.0,0.111,0.032,-0.936,-50.0,-55.0,-10.0,-8.544,-3.784,12.817,0.0,0.0,0
66,26.1,100700.0,0.071,0.041,-1.003,-50.0,-55.0,-10.0,-0.854,-10.253,5.31,0.0,0.0,0
67,26.1,100699.0,0.061,0.068,-1.003,-50.0,-55.0,-10.0,-4.577,21.24,8.666,0.0,0.0,0
68,26.1,100704.0,0.075,0.05,-0.938,-50.0,-55.0,-10.0,2.441,11.535,11.169,0.0,0.0,0
69,26.1,100699.0,0.063,0.011,-1.009,-50.0,-55.0,-10.0,-4.211,-2.441,0.305,0.0,0.0,0
70,26.1,100705.0,-0.004,0.091,-1.044,-50.0,-55.0,-10.0,-0.488,-0.854,5.004,0.0,0.0,0
71,26.1,100699.0,0.109,0.01,-0.964,-50.0,-55.0,-10.0,0.61,-15.136,10.803,0.0,0.0,0
72,26.1,100700.0,0.025,0.069,-1.042,-50.0,-55.0,-10.0,-16.723,-1.525,7.385,0.0,0.0,0
73,26.1,100702.0,0.045,0.031,-0.986,-50.0,-55.0,-10.0,-17.822,-11.413,9.887,0.0,0.0,0
74,26.1,100711.0,0.044,0.007,-0.992,-50.0,-55.0,-10.0,-0.854,-1.586,4.028,0.0,0.0,0
75,26.1,100700.0,0.038,0.045,-0.955,-50.0,-55.0,-10.0,-2.136,-8.789,0.183,0.0,0.0,0
76,26.1,100699.0,0.03,0.03,-0.987,-50.0,-55.0,-10.0,-13.0,-8.789,4.821,0.0,0.0,0
77,26.1,100700.0,0.045,0.026,-0.992,-50.0,-55.0,-10.0,2.197,8.789,4.211,0.0,0.0,0
78,26.1,100703.0,0.06,0.022,-0.984,-50.0,-55.0,-10.0,-7.934,-6.286,8.911,0.0,0.0,0
79,26.1,100708.0,0.018,0.031,-1.035,-50.0,-55.0,-10.0,-15.258,11.474,12.023,0.0,0.0,0
