No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
50,27.1,100771.0,0.089,-0.028,-0.948,-50.0,-55.0,-10.0,-9.582,-9.094,-10.192,0.0,0.0,0
51,27.1,100767.0,0.104,-0.016,-1.024,-50.0,-55.0,-10.0,-10.925,-7.507,-0.671,0.0,0.0,0
52,27.1,100763.0,0.083,-0.012,-0.937,-50.0,-55.0,-10.0,-3.356,-0.854,4.211,0.0,0.0,0
53,27.1,100765.0,0.025,0.058,-1.147,-50.0,-55.0,-10.0,10.742,2.502,6.042,0.0,0.0,0
54,27.1,100764.0,0.081,-0.006,-0.924,-50.0,-55.0,-10.0,-7.507,-16.662,-4.699,0.0,0.0,0
55,27.1,100764.0,0.014,0.025,-1.103,-50.0,-55.0,-10.0,-3.662,0.793,1.342,0.0,0.0,0
56,27.1,100761.0,0.007,0.026,-1.036,-50.0,-55.0,-10.0,1.098,9.033,2.075,0.0,0.0,0
57,27.1,100769.0,0.025,0.03,-0.943,-50.0,-55.0,-10.0,-4.882,-9.887,-9.277,0.0,0.0,0
58,27.1,100771.0,0.065,-0.026,-0.851,-50.0,-55.0,-10.0,-15.991,-9.765,-14.831,0.0,0.0,0
59,27.1,100769.0,0.057,0.003,-1.026,-50.0,-55.0,-10.0,-2.014,1.22,-16.967,0.0,0.0,0
60,27.1,100761.0,0.075,-0.022,-0.987,-50.0,-55.0,-10.0,-2.746,-6.103,-17.822,0.0,0.0,0
61,27.1,100761.0,0.046,-0.008,-1.025,-50.0,-55.0,-10.0,-6.713,-0.732,-9.582,0.0,0.0,0
62,27.1,100763.0,0.109,0.0,-0.94,-50.0,-55.0,-10.0,-8.178,-22.033,-19.47,0.0,0.0,0
63,27.1,100760.0,0.019,0.086,-1.095,-50.0,-55.0,-10.0,8.178,27.465,-13.488,0.0,0.0,0
64,27.1,100762.0,0.034,0.011,-0.969,-50.0,-55.0,-10.0,-0.244,3.54,-15.319,0.0,0.0,0
65,27.1,100765.0,0.048,0.026,-0.947,-50.0,-55.0,-10.0,-4.15,-2.014,-7.141,0.0,0.0,0
66,27.1,100770.0,0.032,0.027,-0.959,-50.0,-55.0,-10.0,-0.122,-7.019,-0.305,0.0,0.0,0
67,27.1,100765.0,0.075,0.027,-0.941,-50.0,-55.0,-10.0,-4.333,-3.601,-0.793,0.0,0.0,0
68,27.1,100766.0,0.071,0.039,-1.001,-50.0,-55.0,-10.0,-19.958,-6.347,6.225,0.0,0.0,0
69,27.1,100765.0,0.036,-0.022,-1.008,-50.0,-55.0,-10.0,-6.042,-1.037,6.774,0.0,0.0,0
70,27.1,100768.0,0.038,0.005,-1.069,-50.0,-55.0,-10.0,2.38,0.976,12.756,0.0,0.0,0
71,27.1,100767.0,0.065,0.023,-0.96,-50.0,-55.0,-10.0,5.249,-11.901,9.704,0.0,0.0,0
72,27.1,100772.0,-0.035,0.086,-1.051,-50.0,-55.0,-10.0,-5.065,-4.699,5.554,0.0,0.0,0
73,27.1,100769.0,0.061,0.0,-0.906,-50.0,-55.0,-10.0,-9.338,0.976,-1.281,0.0,0.0,0
74,27.1,100767.0,0.035,0.011,-0.995,-50.0,-55.0,-10.0,-7.019,2.38,3.967,0.0,0.0,0
75,27.1,100768.0,0.04,-0.026,-0.94,-50.0,-55.0,-10.0,-7.751,2.014,-4.028,0.0,0.0,0
76,27.1,100769.0,0.076,-0.035,-0.963,-50.0,-55.0,-10.0,-11.047,-7.263,-7.263,0.0,0.0,0
77,27.1,100773.0,0.053,0.036,-1.087,-50.0,-55.0,-10.0,5.554,5.981,-12.084,0.0,0.0,0
78,27.1,100758.0,0.073,-0.029,-0.917,-50.0,-55.0,-10.0,-9.399,-5.798,-16.906,0.0,0.0,0
