No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
50,27.299,100741.0,0.056,-0.049,-0.98,-50.0,-55.0,-10.0,-8.056,1.586,-4.943,0.0,0.0,0
51,27.299,100734.0,0.09,-0.069,-0.966,-50.0,-55.0,-10.0,-21.301,6.53,4.089,0.0,0.0,0
52,27.299,100734.0,0.038,-0.066,-1.006,-50.0,-55.0,-10.0,2.563,-11.352,8.422,0.0,0.0,0
53,27.299,100742.0,-0.062,0.009,-1.123,-50.0,-55.0,-10.0,5.859,-13.122,21.728,0.0,0.0,0
54,27.299,100740.0,-0.036,-0.063,-0.974,-50.0,-55.0,-10.0,-13.549,-19.897,-13.549,0.0,0.0,0
55,27.299,100740.0,-0.081,-0.114,-0.955,-50.0,-55.0,-10.0,-6.53,0.305,1.159,0.0,0.0,0
56,27.299,100735.0,0.0,-0.093,-0.93,-50.0,-55.0,-10.0,16.235,-22.949,-31.127,0.0,0.0,0
57,27.299,100741.0,0.006,-0.124,-0.916,-50.0,-55.0,-10.0,-17.517,8.178,-18.92,0.0,0.0,0
58,27.299,100738.0,-0.025,-0.125,-0.95,-50.0,-55.0,-10.0,-10.864,-5.187,-9.826,0.0,0.0,0
59,27.299,100747.0,-0.05,-0.113,-1.011,-50.0,-55.0,-10.0,-7.019,-13.732,-12.634,0.0,0.0,0
60,27.299,100742.0,-0.005,-0.04,-1.019,-50.0,-55.0,-10.0,-17.456,-2.929,-11.169,0.0,0.0,0
61,27.299,100739.0,0.026,0.056,-1.139,-50.0,-55.0,-10.0,15.869,-5.615,-25.878,0.0,0.0,0
62,27.299,100741.0,0.058,-0.09,-0.967,-50.0,-55.0,-10.0,-2.868,21.789,-32.348,0.0,0.0,0
63,27.299,100740.0,-0.033,-0.026,-1.083,-50.0,-55.0,-10.0,9.765,-8.483,-31.738,0.0,0.0,0
64,27.299,100738.0,0.0,-0.075,-0.925,-50.0,-55.0,-10.0,-12.39,-0.061,-21.911,0.0,0.0,0
65,27.299,100741.0,0.0,-0.068,-0.964,-50.0,-55.0,-10.0,1.281,1.22,-14.465,0.0,0.0,0
66,27.299,100738.0,0.031,-0.043,-0.987,-50.0,-55.0,-10.0,-9.887,-9.826,-2.929,0.0,0.0,0
67,27.299,100746.0,0.066,-0.08,-0.977,-50.0,-55.0,-10.0,-20.568,2.929,5.92,0.0,0.0,0
68,27.299,100741.0,0.066,-0.136,-0.954,-50.0,-55.0,-10.0,-21.24,6.286,11.84,0.0,0.0,0
69,27.299,100736.0,0.021,-0.049,-1.008,-50.0,-55.0,-10.0,-0.549,4.638,30.151,0.0,0.0,0
70,27.299,100741.0,0.117,-0.044,-1.04,-50.0,-55.0,-10.0,16.784,-25.329,23.62,0.0,0.0,0
71,27.299,100738.0,-0.001,0.0,-1.115,-50.0,-55.0,-10.0,19.287,14.465,-5.798,0.0,0.0,0
72,27.299,100737.0,0.007,-0.018,-0.988,-50.0,-55.0,-10.0,-7.141,-4.333,-10.62,0.0,0.0,0
73,27.299,100738.0,0.022,-0.105,-0.911,-50.0,-55.0,-10.0,-20.751,11.352,-2.624,0.0,0.0,0
74,27.299,100740.0,0.021,-0.091,-0.952,-50.0,-55.0,-10.0,-3.051,-4.333,-8.117,0.0,0.0,0
75,27.299,100746.0,-0.024,-0.092,-0.989,-50.0,-55.0,-10.0,-8.544,-6.652,-11.413,0.0,0.0,0
76,27.299,100739.0,0.051,-0.173,-0.971,-50.0,-55.0,-10.0,-27.893,-2.624,-4.15,0.0,0.0,0
77,27.299,100745.0,0.028,-0.069,-1.015,-50.0,-55.0,-10.0,-7.446,4.272,-12.573,0.0,0.0,0
78,27.299,100739.0,0.05,-0.039,-1.09,-50.0,-55.0,-10.0,5.676,9.277,-17.944,0.0,0.0,0
79,27.299,100736.0,0.001,-0.119,-0.964,-50.0,-55.0,-10.0,-3.051,-5.371,-24.536,0.0,0.0,0
80,27.299,100736.0,0.022,-0.003,-1.019,-50.0,-55.0,-10.0,25.024,-16.784,-30.151,0.0,0.0,0
81,27.299,100733.0,0.001,-0.052,-0.887,-50.0,-55.0,-10.0,-11.718,7.08,-8.911,0.0,0.0,0
82,27.299,100735.0,0.023,-0.078,-0.918,-50.0,-55.0,-10.0,-7.202,5.615,-7.812,0.0,0.0,0
83,27.299,100743.0,0.014,-0.042,-0.988,-50.0,-55.0,-10.0,-1.22,-5.859,4.089,0.0,0.0,0
84,27.299,100735.0,0.005,-0.066,-1.073,-50.0,-55.0,-10.0,-15.625,0.488,5.493,0.0,0.0,0
85,27.299,100737.0,0.032,-0.072,-1.074,-50.0,-55.0,-10.0,-16.723,5.615,20.08,0.0,0.0,0
86,27.299,100741.0,0.01,0.044,-1.116,-50.0,-55.0,-10.0,29.785,-11.474,13.488,0.0,0.0,0
87,27.299,100731.0,-0.012,-0.062,-0.976,-50.0,-55.0,-10.0,-21.667,18.066,14.221,0.0,0.0,0
88,27.299,100729.0,-0.023,0.009,-1.032,-50.0,-55.0,-10.0,4.394,-14.343,24.841,0.0,0.0,0
89,27.299,100737.0,0.025,-0.046,-0.906,-50.0,-55.0,-10.0,-23.437,-4.028,16.967,0.0,0.0,0
90,27.299,100743.0,0.039,-0.127,-0.859,-50.0,-55.0,-10.0,-31.005,10.192,11.291,0.0,0.0,0
91,27.299,100740.0,0.018,-0.143,-0.926,-50.0,-55.0,-10.0,-15.502,-12.268,2.441,0.0,0.0,0
92,27.299,100741.0,0.053,-0.137,-1.023,-50.0,-55.0,-10.0,-16.54,-1.281,-16.54,0.0,0.0,0
93,27.299,100746.0,0.017,-0.083,-1.114,-50.0,-55.0,-10.0,8.117,19.897,6.53,0.0,0.0,0
94,27.299,100730.0,0.049,-0.104,-0.989,-50.0,-55.0,-10.0,-6.774,-12.084,0.061,0.0,0.0,0
95,27.299,100739.0,0.05,-0.03,-1.0,-50.0,-55.0,-10.0,17.7,5.004,-8.544,0.0,0.0,0
96,27.299,100738.0,-0.044,-0.024,-0.909,-50.0,-55.0,-10.0,-10.742,6.652,-2.014,0.0,0.0,0
97,27.299,100732.0,-0.004,-0.089,-0.852,-50.0,-55.0,-10.0,-21.484,9.704,4.882,0.0,0.0,0
98,27.299,100740.0,-0.006,-0.044,-0.958,-50.0,-55.0,-10.0,-0.671,-19.714,18.981,0.0,0.0,0
99,27.299,100734.0,-0.01,-0.003,-1.11,-50.0,-55.0,-10.0,-12.023,3.051,24.963,0.0,0.0,0
100,27.299,100737.0,0.048,0.031,-1.146,-50.0,-55.0,-10.0,25.268,-27.526,30.273,0.0,0.0,0
101,27.299,100740.0,0.071,-0.108,-0.973,-50.0,-55.0,-10.0,-20.385,10.07,21.789,0.0,0.0,0
102,27.299,100741.0,0.01,-0.012,-1.104,-50.0,-55.0,-10.0,21.057,-1.708,16.967,0.0,0.0,0
103,27.299,100742.0,0.002,-0.005,-0.977,-50.0,-55.0,-10.0,-17.944,9.948,20.507,0.0,0.0,0
104,27.299,100737.0,-0.01,-0.074,-0.894,-50.0,-55.0,-10.0,-34.667,24.291,10.437,0.0,0.0,0
105,27.299,100730.0,-0.022,-0.091,-0.912,-50.0,-55.0,-10.0,-8.666,-18.432,5.493,0.0,0.0,0
106,27.299,100733.0,0.089,-0.111,-0.984,-50.0,-55.0,-10.0,-15.625,-0.915,-12.207,0.0,0.0,0
107,27.299,100738.0,-0.028,-0.138,-0.999,-50.0,-55.0,-10.0,-9.643,11.23,-8.178,0.0,0.0,0
108,27.299,100731.0,-0.034,-0.006,-1.11,-50.0,-55.0,-10.0,19.958,-21.911,-3.784,0.0,0.0,0
109,27.299,100738.0,0.076,-0.137,-0.913,-50.0,-55.0,-10.0,-28.991,18.615,-4.028,0.0,0.0,0
110,27.299,100740.0,-0.08,-0.016,-1.016,-50.0,-55.0,-10.0,30.944,-25.085,7.995,0.0,0.0,0
111,27.299,100742.0,0.042,-0.01,-0.91,-50.0,-55.0,-10.0,-12.207,1.892,17.761,0.0,0.0,0
112,27.299,100739.0,0.028,0.02,-1.039,-50.0,-55.0,-10.0,13.122,-4.577,10.742,0.0,0.0,0
113,27.299,100740.0,0.017,-0.032,-1.014,-50.0,-55.0,-10.0,-20.141,-5.187,16.296,0.0,0.0,0
114,27.299,100737.0,0.082,-0.115,-1.023,-50.0,-55.0,-10.0,7.873,9.338,1.77,0.0,0.0,0
115,27.299,100745.0,-0.022,-0.066,-0.939,-50.0,-55.0,-10.0,3.112,-1.953,-0.854,0.0,0.0,0
116,27.299,100748.0,0.033,-0.041,-0.97,-50.0,-55.0,-10.0,-11.291,7.568,-13.061,0.0,0.0,0
117,27.299,100742.0,0.057,-0.008,-1.015,-50.0,-55.0,-10.0,6.896,-6.53,-33.02,0.0,0.0,0
118,27.299,100733.0,0.077,0.033,-1.04,-50.0,-55.0,-10.0,-4.028,-14.343,-36.315,0.0,0.0,0
119,27.299,100734.0,0.05,-0.079,-0.974,-50.0,-55.0,-10.0,-11.779,7.69,-42.907,0.0,0.0,0
120,27.299,100738.0,-0.072,0.036,-1.091,-50.0,-55.0,-10.0,12.451,-6.164,-23.437,0.0,0.0,0
121,27.299,100736.0,0.046,-0.034,-0.922,-50.0,-55.0,-10.0,-11.413,4.516,-23.559,0.0,0.0,0
122,27.299,100742.0,-0.006,0.003,-1.008,-50.0,-55.0,-10.0,-7.69,3.662,-17.578,0.0,0.0,0
123,27.299,100740.0,0.077,-0.059,-1.006,-50.0,-55.0,-10.0,-10.437,4.15,-14.038,0.0,0.0,0
124,27.399,100743.0,0.04,-0.069,-0.996,-50.0,-55.0,-10.0,1.22,-4.333,-18.798,0.0,0.0,0
125,27.399,100741.0,0.03,-0.094,-0.944,-50.0,-55.0,-10.0,-6.958,0.915,-13.671,0.0,0.0,0
126,27.399,100740.0,0.02,-0.109,-0.929,-50.0,-55.0,-10.0,1.098,-3.662,-19.165,0.0,0.0,0
127,27.399,100742.0,0.036,-0.033,-1.016,-50.0,-55.0,-10.0,8.361,-9.582,-14.892,0.0,0.0,0
128,27.399,100737.0,0.03,-0.059,-0.985,-50.0,-55.0,-10.0,-8.666,5.798,2.441,0.0,0.0,0
129,27.399,100737.0,0.035,-0.061,-1.0,-50.0,-55.0,-10.0,-7.934,-10.314,-2.868,0.0,0.0,0
130,27.399,100742.0,0.065,-0.087,-0.962,-50.0,-55.0,-10.0,-7.69,-10.62,5.554,0.0,0.0,0
131,27.399,100745.0,0.085,-0.065,-1.011,-50.0,-55.0,-10.0,-3.173,-3.54,7.629,0.0,0.0,0
132,27.399,100738.0,0.069,-0.063,-1.006,-50.0,-55.0,-10.0,-8.483,5.004,21.24,0.0,0.0,0
133,27.399,100740.0,0.098,-0.055,-0.983,-50.0,-55.0,-10.0,-9.216,11.779,26.245,0.0,0.0,0
134,27.399,100740.0,0.104,-0.071,-0.96,-50.0,-55.0,-10.0,-17.944,27.526,18.676,0.0,0.0,0
135,27.399,100740.0,0.065,-0.096,-1.005,-50.0,-55.0,-10.0,-9.948,14.77,43.029,0.0,0.0,0
136,27.399,100742.0,0.049,-0.094,-1.002,-50.0,-55.0,-10.0,-7.507,8.728,50.598,0.0,0.0,0
137,27.399,100742.0,0.069,-0.088,-1.01,-50.0,-55.0,-10.0,-1.953,2.136,60.18,0.0,0.0,0
138,27.399,100740.0,0.048,-0.08,-1.022,-50.0,-55.0,-10.0,8.972,4.821,35.339,0.0,0.0,0
139,27.399,100744.0,-0.013,-0.092,-1.007,-50.0,-55.0,-10.0,12.573,-10.131,40.832,0.0,0.0,0
140,27.399,100737.0,-0.061,-0.088,-0.983,-50.0,-55.0,-10.0,1.892,0.976,27.648,0.0,0.0,0
141,27.399,100739.0,0.005,-0.036,-0.993,-50.0,-55.0,-10.0,14.465,-0.854,3.906,0.0,0.0,0
142,27.399,100742.0,-0.017,-0.075,-0.968,-50.0,-55.0,-10.0,-8.3,6.408,-2.441,0.0,0.0,0
143,27.399,100742.0,-0.04,-0.07,-0.952,-50.0,-55.0,-10.0,-10.07,-1.892,0.61,0.0,0.0,0
144,27.399,100740.0,-0.06,-0.025,-0.964,-50.0,-55.0,-10.0,0.549,5.554,5.737,0.0,0.0,0
145,27.399,100736.0,-0.014,-0.022,-0.992,-50.0,-55.0,-10.0,-5.615,0.488,16.357,0.0,0.0,0
146,27.399,100740.0,-0.015,-0.06,-0.994,-50.0,-55.0,-10.0,-11.291,6.042,26.062,0.0,0.0,0
147,27.399,100748.0,0.051,-0.059,-1.048,-50.0,-55.0,-10.0,4.699,-11.047,20.324,0.0,0.0,0
148,27.399,100741.0,0.069,0.059,-1.119,-50.0,-55.0,-10.0,20.507,-30.273,-2.624,0.0,0.0,0
149,27.399,100741.0,0.006,-0.018,-1.019,-50.0,-55.0,-10.0,-20.568,41.809,-2.014,0.0,0.0,0
150,27.399,100735.0,-0.012,0.011,-0.98,-50.0,-55.0,-10.0,5.798,-8.789,-2.99,0.0,0.0,0
151,27.399,100739.0,-0.027,0.021,-0.921,-50.0,-55.0,-10.0,-14.892,17.456,5.737,0.0,0.0,0
152,27.399,100740.0,0.005,0.002,-0.918,-50.0,-55.0,-10.0,-11.047,-1.281,16.784,0.0,0.0,0
153,27.399,100737.0,0.013,0.043,-1.001,-50.0,-55.0,-10.0,-4.15,-2.136,10.009,0.0,0.0,0
154,27.399,100743.0,-0.017,-0.064,-0.971,-50.0,-55.0,-10.0,-0.305,-19.714,8.544,0.0,0.0,0
155,27.399,100738.0,-0.028,0.039,-1.111,-50.0,-55.0,-10.0,26.733,-19.836,10.253,0.0,0.0,0
156,27.399,100737.0,-0.084,-0.018,-0.995,-50.0,-55.0,-10.0,-3.295,-3.417,-2.441,0.0,0.0,0
157,27.399,100737.0,-0.025,-0.067,-0.951,-50.0,-55.0,-10.0,-10.803,-3.54,-6.958,0.0,0.0,0
158,27.399,100737.0,-0.074,-0.125,-0.919,-50.0,-55.0,-10.0,-5.371,4.821,-9.46,0.0,0.0,0
159,27.399,100736.0,-0.016,-0.076,-0.979,-50.0,-55.0,-10.0,4.516,-7.263,-2.197,0.0,0.0,0
160,27.399,100740.0,0.021,-0.08,-0.963,-50.0,-55.0,-10.0,-16.174,5.737,-11.169,0.0,0.0,0
161,27.399,100734.0,0.028,-0.129,-0.997,-50.0,-55.0,-10.0,-11.047,-4.638,-7.873,0.0,0.0,0
162,27.399,100736.0,0.006,-0.081,-1.057,-50.0,-55.0,-10.0,-11.413,-12.878,-6.53,0.0,0.0,0
163,27.399,100735.0,0.089,-0.035,-1.09,-50.0,-55.0,-10.0,-4.882,5.676,-17.456,0.0,0.0,0
164,27.399,100732.0,0.015,-0.034,-0.984,-50.0,-55.0,-10.0,-10.681,-13.244,-17.761,0.0,0.0,0
165,27.399,100738.0,-0.005,-0.029,-0.996,-50.0,-55.0,-10.0,-2.319,13.61,-26.489,0.0,0.0,0
166,27.399,100742.0,-0.012,-0.014,-0.959,-50.0,-55.0,-10.0,15.136,-15.502,-20.507,0.0,0.0,0
167,27.399,100737.0,-0.009,-0.056,-0.903,-50.0,-55.0,-10.0,-29.479,12.634,-26.062,0.0,0.0,0
168,27.399,100738.0,-0.004,-0.106,-0.954,-50.0,-55.0,-10.0,-8.911,1.892,-16.418,0.0,0.0,0
169,27.399,100745.0,-0.023,-0.045,-1.031,-50.0,-55.0,-10.0,-11.901,-0.122,-0.488,0.0,0.0,0
170,27.399,100752.0,-0.044,-0.073,-1.056,-50.0,-55.0,-10.0,-22.277,14.953,15.441,0.0,0.0,0
171,27.399,100742.0,-0.054,-0.061,-1.077,-50.0,-55.0,-10.0,10.62,-12.207,20.019,0.0,0.0,0
172,27.399,100738.0,-0.036,-0.002,-0.961,-50.0,-55.0,-10.0,-9.826,-17.089,14.526,0.0,0.0,0
173,27.399,100737.0,-0.053,-0.015,-1.007,-50.0,-55.0,-10.0,4.028,-0.305,22.216,0.0,0.0,0
174,27.399,100732.0,-0.006,-0.004,-0.943,-50.0,-55.0,-10.0,8.117,-13.61,17.028,0.0,0.0,0
