No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
40,27.2,100527.0,-0.081,0.089,-0.98,-50.0,-55.0,-10.0,-16.296,-12.695,0.61,0.0,0.0,0,69.55126574156675,0.48744099999999996
41,27.299,100529.0,-0.212,0.253,-0.915,-50.0,-55.0,-10.0,26.0,-21.362,-30.395,0.0,0.0,0,69.39899871414238,0.47308900000000004
42,27.2,100526.0,0.02,0.118,-0.918,-50.0,-55.0,-10.0,-3.54,17.028,0.244,0.0,0.0,0,69.63883453277053,0.428524
43,27.299,100526.0,-0.072,0.336,-0.925,-50.0,-55.0,-10.0,-15.625,23.376,0.122,0.0,0.0,0,69.66178856845805,0.4868525
44,27.299,100531.0,-0.141,0.121,-1.045,-50.0,-55.0,-10.0,20.874,1.403,-14.465,0.0,0.0,0,69.2238106634096,0.5632734999999999
45,27.2,100533.0,-0.097,0.183,-0.968,-50.0,-55.0,-10.0,21.728,15.502,-20.385,0.0,0.0,0,69.02587476618628,0.489961
46,27.2,100527.0,-0.067,0.174,-0.944,-50.0,-55.0,-10.0,7.202,8.728,-8.3,0.0,0.0,0,69.55126574156675,0.4629505
47,27.2,100524.0,-0.142,0.203,-0.917,-50.0,-55.0,-10.0,-4.882,-34.667,-15.686,0.0,0.0,0,69.81397522566111,0.45113100000000006
48,27.2,100528.0,-0.129,0.289,-1.257,-50.0,-55.0,-10.0,-24.291,-49.621,-13.549,0.0,0.0,0,69.46369798715304,0.8401055
49,27.2,100528.0,-0.077,0.159,-1.061,-50.0,-55.0,-10.0,18.92,2.136,-8.544,0.0,0.0,0,69.46369798715304,0.5784655
50,27.2,100526.0,-0.049,0.253,-0.949,-50.0,-55.0,-10.0,-1.77,-17.211,-16.601,0.0,0.0,0,69.63883453277053,0.4835054999999999
51,27.2,100527.0,-0.053,0.233,-1.013,-50.0,-55.0,-10.0,8.178,14.099,-25.39,0.0,0.0,0,69.55126574156675,0.5416335
